City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
2,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
5,Faanui,PF,78.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Khatanga,RU,75.61,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
8,Puerto Escondido,MX,86.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
18,Kieta,PG,81.28,light rain,-6.2167,155.6333,Uruna Bay Retreat
19,Nantucket,US,83.61,clear sky,41.2835,-70.0995,Jared Coffin House
20,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
23,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
24,Tamale,GH,77.14,light rain,9.4008,-0.8393,Tap Hotel
25,Oriximina,BR,84.06,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
27,Kandrian,PG,79.29,few clouds,-6.2167,149.55,Kandrian Station
33,Qandala,SO,87.44,clear sky,11.472,49.8728,
50,Magsaysay,PH,75.09,overcast clouds,6.7667,125.1833,LULINGHAYAWAN CAMP SITE
53,Xinyu,CN,77.92,clear sky,27.8043,114.9334,Xinyu Beihu Hotel
56,Shaoguan,CN,77.97,scattered clouds,24.8,113.5833,Shangcheng Hotel
61,Vanimo,PG,78.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
65,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Wattegama,LK,77.92,overcast clouds,6.7989,81.4808,
69,Victoria,HK,87.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,Seoul,KR,80.04,few clouds,37.5683,126.9778,롯데호텔 서울
75,Bethel,US,88.52,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
79,Rongcheng,CN,76.87,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
80,Lompoc,US,89.74,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
85,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
87,Arlit,NE,84.51,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
89,Thinadhoo,MV,81.86,overcast clouds,0.5333,72.9333,
90,Kismayo,SO,75.88,broken clouds,-0.3582,42.5454,Agan-Hotel
91,Katsuura,JP,82.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
92,Balikpapan,ID,76.89,overcast clouds,-1.2675,116.8289,ibis Balikpapan
95,Yumen,CN,75.51,scattered clouds,40.2833,97.2,
98,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
99,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
100,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
105,Dubrovnik,HR,83.84,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
106,Monbon,PH,79.16,light rain,12.7307,124.0189,Yani's Farmhouse
109,Awbari,LY,86.59,clear sky,26.5921,12.7805,فندق أوباري
113,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
120,Kloulklubed,PW,83.61,very heavy rain,7.0419,134.2556,Storyboard Beach Resort
123,Ratnagiri,IN,79.61,overcast clouds,16.9833,73.3,Hotel Landmark
124,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Scoop Guest House
131,Jamestown,US,77.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
133,Bandarbeyla,SO,79.63,few clouds,9.4942,50.8122,JABIR HOTEL
134,Kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
135,San Cristobal,VE,78.03,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
137,Salalah,OM,77.5,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
144,Mitsamiouli,KM,75.78,few clouds,-11.3847,43.2844,Foyer ADM
146,Pedernales,DO,85.21,broken clouds,18.0384,-71.744,Hotel Costa Marina
155,Gizo,SB,82.33,light rain,-8.103,156.8419,Imagination Island
158,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
160,Eyl,SO,80.73,overcast clouds,7.9803,49.8164,Amiin Hotel
162,Gat,IL,81.28,clear sky,31.61,34.7642,OlusHome
167,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
168,Goderich,CA,77.04,scattered clouds,43.7501,-81.7165,Harmony Inn
169,Thompson,CA,83.52,overcast clouds,55.7435,-97.8558,Burntwood Hotel
171,Tehuacan,MX,79.52,broken clouds,18.45,-97.3833,Hotel & Spa Casa Cantarranas Tehuacán
173,Marsh Harbour,BS,85.55,broken clouds,26.5412,-77.0636,Abaco Beach Resort
176,Champerico,GT,87.35,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
177,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
182,Cobija,BO,80.38,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
189,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
190,Dingle,PH,78.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
191,Wenling,CN,80.91,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
