City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.72,70,98,3.49,overcast clouds
1,Sydney,AU,-33.8679,151.2073,61.48,57,0,5.01,clear sky
2,Tiarei,PF,-17.5333,-149.3333,82.42,73,77,10.02,broken clouds
3,Saint-Philippe,RE,-21.3585,55.7679,67.59,85,50,14.2,light rain
4,Rikitea,PF,-23.1203,-134.9692,74.62,77,100,15.01,overcast clouds
5,Faanui,PF,-16.4833,-151.75,78.03,74,25,7.7,light rain
6,Tommot,RU,58.9564,126.2925,66.38,91,3,2.01,clear sky
7,Khatanga,RU,71.9667,102.5,75.61,57,99,15.93,overcast clouds
8,Puerto Escondido,MX,15.85,-97.0667,86.41,68,95,4.97,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,47.12,69,15,11.01,light rain
10,Port Alfred,ZA,-33.5906,26.891,68.23,43,4,12.64,clear sky
11,Pevek,RU,69.7008,170.3133,34.07,94,100,10.4,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,49.48,88,40,0.76,scattered clouds
13,Albany,US,42.6001,-73.9662,70.81,63,51,3.0,moderate rain
14,Ribeira Grande,PT,38.5167,-28.7,72.28,84,75,10.89,broken clouds
15,Kenai,US,60.5544,-151.2583,69.03,81,99,10.36,overcast clouds
16,Ginda,IN,30.6945,78.4932,68.68,100,100,3.0,overcast clouds
17,Busselton,AU,-33.65,115.3333,46.04,68,100,13.51,overcast clouds
18,Kieta,PG,-6.2167,155.6333,81.28,78,98,1.97,light rain
19,Nantucket,US,41.2835,-70.0995,83.61,63,3,12.91,clear sky
20,Georgetown,MY,5.4112,100.3354,82.89,84,20,0.0,few clouds
21,Qaanaaq,GL,77.484,-69.3632,41.22,99,100,4.27,light rain
22,Yellowknife,CA,62.456,-114.3525,59.32,50,84,1.01,broken clouds
23,Atuona,PF,-9.8,-139.0333,77.5,71,16,18.43,light rain
24,Tamale,GH,9.4008,-0.8393,77.14,73,100,4.61,light rain
25,Oriximina,BR,-1.7656,-55.8661,84.06,47,2,3.49,clear sky
26,Homer,US,59.6425,-151.5483,69.08,73,100,11.01,overcast clouds
27,Kandrian,PG,-6.2167,149.55,79.29,84,11,2.21,few clouds
28,Torres,BR,-29.3353,-49.7269,50.83,60,33,17.67,scattered clouds
29,Mont-Dore,NC,-22.2833,166.5833,71.01,99,54,10.89,broken clouds
30,Ushuaia,AR,-54.8,-68.3,35.82,94,100,6.35,light rain
31,Sitka,US,57.0531,-135.33,60.51,75,99,3.83,light rain
32,Lebu,CL,-37.6167,-73.65,47.98,76,0,24.14,clear sky
33,Qandala,SO,11.472,49.8728,87.44,50,5,17.45,clear sky
